JC1398|07/17/2016|21:46:29| |8TAC93D IS FHP MUTUAL AID CHANNEL
JC1398|07/17/2016|21:48:33| |OSP COMMANDERS BRIEFING THEIR WILL BE NO CLEVELAND PD OFFICER WITH OUT MFF
SLT1151|07/17/2016|22:18:54|258|ADV LOG ALL UNITS EXCEPT 270, 55 AND HIMSELF
SLT1151|07/17/2016|22:19:06||*** JUST S14 ALL UNITS WERE ALREADY LOGGED OFF ***
SmartCAD|07/18/2016|01:47:10||OLD DISP CODES: CODE1 = MOA, CODE2 = , CODE3 = , CODE4 = , CODE5 = , CODE6 =
