street,shootings,duration,dur_per_day,dur_per_hour
Java Str,161,2547.0,1.163013698630137,0.048458904109589036
East  18 Str,170,2547.0,1.163013698630137,0.048458904109589036
Grand Str,168,2619.0,1.1958904109589041,0.049828767123287675
Eagle Str,180,2626.0,1.1990867579908675,0.04996194824961948
10 Av,159,2638.0,1.204566210045662,0.05019025875190258
